ticker,RMSE,R2,MAPE
BKEP,0.119707231,0.984025201,2.072616137
BKEPP,0.107323684,0.909004354,1.1945371
BKH,0.775154223,0.977907353,1.019263497
BKHU,0.803284058,0.948904946,1.024216571
BKI,0.79728628,0.921239326,1.227321104
BKK,0.058926962,0.889436535,0.30536766
BKN,0.074212455,0.964108069,0.405989163
BKNG,31.72141463,0.988969342,1.28518358
BKS,0.239294749,0.976610638,2.657127913
BKSC,0.38168522,0.933770956,1.508723567
BKT,0.02730109,0.943113688,0.357567438
BKU,0.652157221,0.969473158,1.370136821
BKYI,0.143666286,0.920817667,4.368198918
BLBD,0.42273113,0.966343927,1.421247144
BLCM,0.45119699,0.823673452,4.110302776
BLD,1.784597197,0.940760879,1.816999786
BLDP,0.150012109,0.974512095,2.923882612
BLDR,0.463089965,0.976892002,2.112182126
BLFS,0.557413554,0.988323747,3.541588365
BLH,0.038997651,0.678087523,0.18723987
BLIN,0.176689327,0.956041275,5.083664153
BLK,7.020594597,0.988919079,1.108916948
BLKB,1.967681574,0.979133597,1.484617165
BLL,0.549677679,0.915184003,1.054799693
BLMN,0.491495062,0.957719777,1.731236027
BLMT,0.447392817,0.952035907,1.10081739
BLNK,1.359626745,0.932183489,8.719268004
BLPH,0.189097029,0.851194608,7.484955728
BLRX,0.032617064,0.915405388,2.435058608
BLUE,6.903112318,0.94016593,3.072545596
BLW,0.076968686,0.967695156,0.388897412
BLX,0.462176746,0.893524523,1.245643576
BMA,3.015577401,0.972648108,2.492270359
BMCH,0.45696925,0.926620936,1.654657272
BME,0.393635092,0.980371265,0.879165955
BMI,0.938989797,0.965387768,1.455365021
BMO,0.727177319,0.972961495,0.766641763
BMRA,0.192778656,0.636730425,3.395885086
BMRC,1.427814749,0.960311979,1.593332784
BMRN,2.029740876,0.872124755,1.73657568
BMS,0.784380996,0.874515983,1.099106384
BMTC,0.652390489,0.956107659,1.201413203
BMY,1.038199405,0.950355883,1.287399628
BNCL,0.296902105,0.899180989,1.348586029
BNDX,0.079190713,0.964300536,0.112179576
BNED,0.251554588,0.844937534,2.784938671
BNFT,1.15676604,0.934325016,2.547804059
BNS,0.61876907,0.969512799,0.817011294
BNSO,0.135828004,0.924738497,2.901066929
BNTC,0.175312956,0.81505585,4.018430307
BNY,0.080257134,0.987220503,0.460595131
BOCH,0.245556609,0.926319893,1.66053862
BOE,0.099302352,0.981201404,0.605642205
BOFI,0.820344732,0.985226323,1.959801372
BOFIL,0.191909361,0.584929015,0.539747298
BOH,1.145801051,0.857489673,1.083890366
BOJA,0.357203199,0.899315798,1.977245469
BOKF,1.382427195,0.975368028,1.190997991
BOKFL,0.120903407,0.780525836,0.381647785
BOOM,1.120940314,0.990073443,2.869709418
BOOT,0.618158178,0.990905615,3.180240189
BOSC,0.071380696,0.89554087,2.625402869
BOTJ,0.349405006,0.596060971,1.746271179
BOX,0.88721412,0.886806015,2.599337322
BP,0.570785034,0.986087549,1.076935145
BPFH,0.300088993,0.856437338,1.500533165
BPI,0.406302213,0.97423,2.300873023
